committee,date,alderman,status
Committee on Education and Child Development,9/8/14 0:00,"O'Connor, Patrick",0
Committee on Education and Child Development,9/8/14 0:00,"Ervin, Jason C.",1
Committee on Education and Child Development,9/8/14 0:00,"O'Connor, Mary",1
Committee on Education and Child Development,9/8/14 0:00,"Burnett, Jr., Walter",0
Committee on Education and Child Development,9/8/14 0:00,"Solis, Daniel",0
Committee on Education and Child Development,9/8/14 0:00,"Osterman, Harry",1
Committee on Education and Child Development,9/8/14 0:00,"Colon, Rey",0
Committee on Education and Child Development,9/8/14 0:00,"Beale, Anthony",1
Committee on Education and Child Development,9/8/14 0:00,"Waguespack, Scott",0
Committee on Education and Child Development,9/8/14 0:00,"Dowell, Pat",1
Committee on Education and Child Development,9/8/14 0:00,"Mell, Deborah",1
Committee on Education and Child Development,9/8/14 0:00,"Sawyer, Roderick T.",1
Committee on Education and Child Development,9/8/14 0:00,"Munoz, Ricardo",0
Committee on Education and Child Development,9/8/14 0:00,"Maldonado, Roberto",0
Committee on Education and Child Development,9/8/14 0:00,"Thomas, Latasha R.",1
Committee on Education and Child Development,9/8/14 0:00,"Cardenas, George A.",0
Committee on Education and Child Development,9/8/14 0:00,"Moreno, Proco Joe",0
Committee on Education and Child Development,9/8/14 0:00,"O'Shea, Matthew J.",1
Committee on Education and Child Development,11/4/13 0:00,"O'Connor, Patrick",0
Committee on Education and Child Development,11/4/13 0:00,"Ervin, Jason C.",1
Committee on Education and Child Development,11/4/13 0:00,"O'Connor, Mary",0
Committee on Education and Child Development,11/4/13 0:00,"Burnett, Jr., Walter",0
Committee on Education and Child Development,11/4/13 0:00,"Solis, Daniel",0
Committee on Education and Child Development,11/4/13 0:00,"Cardenas, George A.",0
Committee on Education and Child Development,11/4/13 0:00,"Colon, Rey",1
Committee on Education and Child Development,11/4/13 0:00,"Beale, Anthony",1
Committee on Education and Child Development,11/4/13 0:00,"Waguespack, Scott",1
Committee on Education and Child Development,11/4/13 0:00,"Dowell, Pat",0
Committee on Education and Child Development,11/4/13 0:00,"Mell, Deborah",1
Committee on Education and Child Development,11/4/13 0:00,"O'Shea, Matthew J.",1
Committee on Education and Child Development,11/4/13 0:00,"Munoz, Ricardo",1
Committee on Education and Child Development,11/4/13 0:00,"Maldonado, Roberto",0
Committee on Education and Child Development,11/4/13 0:00,"Thomas, Latasha R.",1
Committee on Education and Child Development,11/4/13 0:00,"Osterman, Harry",0
Committee on Education and Child Development,11/4/13 0:00,"Moreno, Proco Joe",0
Committee on Education and Child Development,11/4/13 0:00,"Sawyer, Roderick T.",1
Committee on Education and Child Development,7/18/12 0:00,"O'Connor, Patrick",0
Committee on Education and Child Development,7/18/12 0:00,"Ervin, Jason C.",0
Committee on Education and Child Development,7/18/12 0:00,"O'Connor, Mary",0
Committee on Education and Child Development,7/18/12 0:00,"Burnett, Jr., Walter",0
Committee on Education and Child Development,7/18/12 0:00,"Cardenas, George A.",0
Committee on Education and Child Development,7/18/12 0:00,"Colon, Rey",1
Committee on Education and Child Development,7/18/12 0:00,"Beale, Anthony",0
Committee on Education and Child Development,7/18/12 0:00,"Waguespack, Scott",0
Committee on Education and Child Development,7/18/12 0:00,"Dowell, Pat",1
Committee on Education and Child Development,7/18/12 0:00,"Solis, Daniel",0
Committee on Education and Child Development,7/18/12 0:00,"O'Shea, Matthew J.",1
Committee on Education and Child Development,7/18/12 0:00,"Munoz, Ricardo",0
Committee on Education and Child Development,7/18/12 0:00,"Maldonado, Roberto",0
Committee on Education and Child Development,7/18/12 0:00,"Thomas, Latasha R.",0
Committee on Education and Child Development,7/18/12 0:00,"Osterman, Harry",0
Committee on Education and Child Development,7/18/12 0:00,"Moreno, Proco Joe",0
Committee on Education and Child Development,7/18/12 0:00,"Sawyer, Roderick T.",0
Committee on Education and Child Development,2/22/12 0:00,"O'Connor, Patrick",0
Committee on Education and Child Development,2/22/12 0:00,"Ervin, Jason C.",1
Committee on Education and Child Development,2/22/12 0:00,"O'Connor, Mary",1
Committee on Education and Child Development,2/22/12 0:00,"Burnett, Jr., Walter",1
Committee on Education and Child Development,2/22/12 0:00,"Cardenas, George A.",0
Committee on Education and Child Development,2/22/12 0:00,"Waguespack, Scott",1
Committee on Education and Child Development,2/22/12 0:00,"Beale, Anthony",0
Committee on Education and Child Development,2/22/12 0:00,"Colon, Rey",0
Committee on Education and Child Development,2/22/12 0:00,"Dowell, Pat",0
Committee on Education and Child Development,2/22/12 0:00,"Solis, Daniel",0
Committee on Education and Child Development,2/22/12 0:00,"O'Shea, Matthew J.",1
Committee on Education and Child Development,2/22/12 0:00,"Munoz, Ricardo",0
Committee on Education and Child Development,2/22/12 0:00,"Maldonado, Roberto",0
Committee on Education and Child Development,2/22/12 0:00,"Thomas, Latasha R.",0
Committee on Education and Child Development,2/22/12 0:00,"Osterman, Harry",0
Committee on Education and Child Development,2/22/12 0:00,"Moreno, Proco Joe",0
Committee on Education and Child Development,2/22/12 0:00,"Sawyer, Roderick T.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Burke, Edward M.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Moore, Joseph",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Hairston, Leslie A.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Austin, Carrie M.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Colon, Rey",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Tunney, Thomas",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Solis, Daniel",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Cappleman, James",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Harris, Michelle A.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Munoz, Ricardo",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"O'Connor, Mary",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Brookins, Jr., Howard",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Mell, Richard F.",1
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Sposato, Nicholas",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Pope, John",1
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Foulkes, Toni",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Fioretti, Bob",1
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Burnett, Jr., Walter",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Suarez, Regner Ray",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Beale, Anthony",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Quinn, Marty",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"O'Shea, Matthew J.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Cullerton, Timothy M.",1
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Sawyer, Roderick T.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Balcer, James",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Smith, Michele",1
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Graham, Deborah L.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Silverstein, Debra L.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Laurino, Margaret",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Pawar, Ameya",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Waguespack, Scott",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Arena, John",1
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Lane, Lona",1
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Zalewski, Michael R.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Maldonado, Roberto",1
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Reilly, Brendan",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"O'Connor, Patrick",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Ervin, Jason C.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Chandler, Michael D.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Mitts, Emma",1
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Dowell, Pat",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Cardenas, George A.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Cochran, Willie",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Reboyras, Ariel",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Moreno, Proco Joe",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Burns, William D.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Thomas, Latasha R.",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Osterman, Harry",0
"Committee on Committees, Rules and Ethics",10/2/12 0:00,"Thompson, JoAnn",0
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Burke, Edward M.",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Moore, Joseph",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Hairston, Leslie A.",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Austin, Carrie M.",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Colon, Rey",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Tunney, Thomas",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Solis, Daniel",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Thompson, JoAnn",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Harris, Michelle A.",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Munoz, Ricardo",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Smith, Michele",0
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Pope, John",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Mell, Richard F.",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Sposato, Nicholas",0
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Brookins, Jr., Howard",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Foulkes, Toni",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Fioretti, Bob",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Cochran, Willie",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Suarez, Regner Ray",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Jackson, Sandi",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Beale, Anthony",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Quinn, Marty",0
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"O'Shea, Matthew J.",0
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Moreno, Proco Joe",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Sawyer, Roderick T.",0
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Balcer, James",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"O'Connor, Mary",0
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Graham, Deborah L.",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Silverstein, Debra L.",0
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Laurino, Margaret",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Pawar, Ameya",0
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Waguespack, Scott",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Dowell, Pat",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Lane, Lona",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Zalewski, Michael R.",1
"Committee on Committees, Rules and Ethics",6/8/11 0:00,"Maldonado, Roberto",1
