Alderman,Committee,Start,End
"u'Mell, Richard F.'","u'Joint Committee: Public Safety; Zoning, Landmarks and Building Standards'",5/21/07,7/23/13
"u'Harris, Michelle A.'",u'Committee on Health and Environmental Protection',5/21/07,7/24/13
"u'Quinn, Marty'","u'Joint Committee: Finance; Zoning, Landmarks and Building Standards'",5/11/11,7/24/13
"u'Ervin, Jason C.'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',7/24/13,5/14/14
"u'Ervin, Jason C.'",u'Joint Committee: Budget and Government Operations; License and Consumer Protection',7/24/13,5/14/14
"u'Ervin, Jason C.'","u'Joint Committee: Budget and Government Operations; Zoning, Landmarks and Building Standards'",7/24/13,5/14/14
"u'Holmes, Natashia'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',5/18/11,5/14/14
"u'Holmes, Natashia'",u'Joint Committee: Budget and Government Operations; Health and Environmental Protection',2/13/13,5/14/14
"u'Mell, Deborah'",u'Joint Committee: Budget and Government Operations; Finance; Transportation and Public Way',7/24/13,5/14/14
"u'Colon, Rey'",u'Joint Committee: Education and Child Development; Health and Environmental Protection',3/11/14,6/5/14
"u'Brown, Carole '",u'Council Office of Financial Analysis Oversight Committee',4/2/14,1/1/15
"u'Suarez, Regner Ray'",u'Council Office of Financial Analysis Oversight Committee',4/2/14,1/1/15
"u'Thompson, JoAnn'",u'City Council',5/21/07,2/9/15
"u'Thompson, JoAnn'",u'Committee on Aviation',5/21/07,2/9/15
"u'Thompson, JoAnn'",u'Committee on Budget and Government Operations',5/21/07,2/9/15
"u'Thompson, JoAnn'","u'Committee on Committees, Rules and Ethics'",5/21/07,2/9/15
