Alderman,Committee,Start,End,
"u'Smith, Mary Ann'",u'Committee on Finance',2007-05-21,2011-05-16,
"u'Smith, Mary Ann'",u'Committee on Historical Landmark Preservation',2007-05-21,2011-05-16,
"u'Smith, Mary Ann'",u'Committee on License and Consumer Protection',2007-05-21,2011-05-16,
"u'Smith, Mary Ann'",u'Committee on Parks and Recreation',2007-05-21,2011-05-16,
"u'Smith, Mary Ann'",u'Committee on Traffic Control and Safety',2007-05-21,2011-05-16,
"u'Smith, Mary Ann'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Solis, Daniel'",u'Committee on Education',2007-05-21,2011-05-16,
"u'Solis, Daniel'",u'Committee on Police and Fire',2007-05-21,2011-05-16,
"u'Solis, Daniel'",u'Committee on Zoning',2007-05-21,2011-05-16,
"u'Solis, Daniel'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Stone, Bernard'",u'Committee on Budget and Government Operations',2007-05-21,2011-05-16,
"u'Stone, Bernard'",u'Committee on Buildings',2007-05-21,2011-05-16,
"u'Stone, Bernard'","u'Committee on Committees, Rules and Ethics'",2007-05-21,2011-05-16,
"u'Stone, Bernard'",u'Committee on Finance',2007-05-21,2011-05-16,
"u'Stone, Bernard'",u'Committee on Historical Landmark Preservation',2007-05-21,2011-05-16,
"u'Stone, Bernard'",u'Committee on Housing and Real Estate',2007-05-21,2011-05-16,
"u'Stone, Bernard'",u'Committee on Traffic Control and Safety',2007-05-21,2011-05-16,
"u'Stone, Bernard'",u'Committee on Zoning',2007-05-21,2011-05-16,
"u'Stone, Bernard'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Suarez, Regner Ray'",u'Committee on Buildings',2007-05-21,2011-05-16,
"u'Suarez, Regner Ray'",u'Committee on Zoning',2007-05-21,2011-05-16,
"u'Suarez, Regner Ray'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Thomas, Latasha R.'",u'Committee on Buildings',2007-05-21,2011-05-16,
"u'Thomas, Latasha R.'",u'Committee on Education',2007-05-21,2011-05-16,
"u'Thomas, Latasha R.'",u'Committee on Special Events and Cultural Affairs',2007-05-21,2011-05-16,
"u'Thomas, Latasha R.'",u'Committee on Zoning',2007-05-21,2011-05-16,
"u'Thomas, Latasha R.'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Thompson, JoAnn'","u'Committee on Energy, Environmental Protection and Public Utilities'",2007-05-21,2011-05-16,
"u'Thompson, JoAnn'",u'Committee on Health',2007-05-21,2011-05-16,
"u'Thompson, JoAnn'",u'Committee on Historical Landmark Preservation',2007-05-21,2011-05-16,
"u'Thompson, JoAnn'",u'Committee on Parks and Recreation',2007-05-21,2011-05-16,
"u'Tunney, Thomas'",u'Committee on Special Events and Cultural Affairs',2007-05-21,2011-05-16,
"u'Tunney, Thomas'",u'Committee on Zoning',2007-05-21,2011-05-16,
"u'Tunney, Thomas'",u'Joint Committee: Finance; Police and Fire',2007-05-21,2011-05-16,
"u'Waguespack, Scott'",u'Committee on Education',2007-05-21,2011-05-16,
